Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
173.02091,C00093,M+H[1+],6.64667700220889e-05
173.02091,C01801,M+K[1+],0.00023353322998787
173.02091,C00279,M-CO+H[1+],3.35332299812308e-05
173.02091,C02985,M-C3H4O2+H[1+],6.64667699936672e-05
173.02091,C00246,M+HCOOK[1+],6.64667700220889e-05
233.06321,C02076,M+Na[1+],6.64667700220889e-05
233.06321,C01019,M+HCOONa[1+],3.35332299812308e-05
405.0095,C00015,M+H[1+],2.35332299780566e-05
405.00944,C00015,M+H[1+],3.64667700409882e-05
249.03659,C00117,M+H2O+H[1+],0.000486466770041716
249.03659,C00620,M+H2O+H[1+],0.000486466770041716
249.03659,C00199,M+H2O+H[1+],0.000486466770041716
249.03659,C00345,M-CO+H[1+],0.000286466770035076
249.03659,C02076,M+K[1+],0.000186466770031757
249.03659,C00231,M+H2O+H[1+],0.000486466770041716
249.03659,C01019,M+HCOOK[1+],0.000486466770013294
249.03659,C01179,M+HCOONa[1+],0.000386466770009974
249.03659,C05350,M+HCOONa[1+],0.000386466770009974
519.03863,C00190,M-H2O+H[1+],0.00254646677001347
139.03895,C00156,M+H[1+],2.64667700093923e-05
139.03895,C05585,M+H[1+],2.64667700093923e-05
139.03895,C05580,M-HCOOH+H[1+],0.000126466770012712
417.06044,C01134,M+NaCl[1+],0.00183646676998706
336.09152,C00212,M+HCOONa[1+],4.35332300412483e-05
336.09152,C00330,M+HCOONa[1+],4.35332300412483e-05
233.06303,C02076,M+Na[1+],0.00024646677002238
233.06303,C01019,M+HCOONa[1+],0.00014646677001906
400.34194,C02990,M+H[1+],0.000236466769990784
400.34194,C01829,M+H+Na[2+],0.000313533230041685
233.06308,C02076,M+Na[1+],0.000196466770006509
233.06308,C01019,M+HCOONa[1+],9.64667700031896e-05
489.11473,C00307,M+H[1+],0.000153533229990899
309.04962,C00365,M+H[1+],0.00134353322999914
309.04962,C05651,M+HCOOK[1+],0.00134353322999914
309.04962,C03227,M+HCOOK[1+],0.00134353322999914
152.05689,C00242,M+H[1+],0.000213533230009944
152.05689,C22499,M+H[1+],0.000213533230009944
325.0434,C00105,M+H[1+],0.000223533229984696
325.0434,C01103,M-CO2+H[1+],0.000223533230041539
284.0993,C00387,M+H[1+],0.000323533230016437
336.09105,C00212,M+HCOONa[1+],0.000426466769965828
336.09105,C00330,M+HCOONa[1+],0.000426466769965828
233.06309,C02076,M+Na[1+],0.000186466770031757
233.06309,C01019,M+HCOONa[1+],8.64667700284372e-05
160.07575,C11132,M(C13)+3H[3+],0.000793133436673088
160.07575,C00780,M-NH3+H[1+],2.64667700093923e-05
160.07575,C00637,M+H[1+],7.35332299939273e-05
160.07575,C00331,M-CO2+H[1+],7.35332299939273e-05
160.07575,C05660,M-HCOOH+H[1+],2.64667700093923e-05
160.07575,C16586,M-H4O2+H[1+],0.000173533229997247
264.03909,C05660,M+NaCl[1+],0.000686466770048355
264.03909,C07585,M+HCOOK[1+],0.00101353322997966
114.06623,C00300,M-H2O+H[1+],5.35332300017899e-05
664.1161,C00003,M[1+],0.000800000000026557
189.0159,C00118,M+H2O+H[1+],2.35332299780566e-05
189.0159,C00085,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C00668,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C00103,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C00111,M+H2O+H[1+],2.35332299780566e-05
189.0159,C01172,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C00121,M+K[1+],0.000323533229988016
189.0159,C00309,M+K[1+],0.000323533229988016
189.0159,C00310,M+K[1+],0.000323533229988016
189.0159,C00181,M+K[1+],0.000323533229988016
189.0159,C00259,M+K[1+],0.000323533229988016
189.0159,C00312,M+K[1+],0.000323533229988016
189.0159,C00275,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C00636,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C01094,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C01097,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C00446,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C06001,M+HCOOK[1+],2.35332299780566e-05
189.0159,C00092,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C03546,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C04006,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C01177,M-C3H4O2+H[1+],2.35332299780566e-05
189.0159,C05984,M+HCOOK[1+],2.35332299780566e-05
189.0159,C01089,M+HCOOK[1+],2.35332299780566e-05
173.04177,C00121,M+Na[1+],0.000306466769984581
173.04177,C00309,M+Na[1+],0.000306466769984581
173.04177,C00310,M+Na[1+],0.000306466769984581
173.04177,C00181,M+Na[1+],0.000306466769984581
173.04177,C00259,M+Na[1+],0.000306466769984581
173.04177,C00312,M+Na[1+],0.000306466769984581
173.04177,C06001,M+HCOONa[1+],0.000206466769981262
173.04177,C05984,M+HCOONa[1+],0.000206466769981262
173.04177,C01089,M+HCOONa[1+],0.000206466769981262
173.04196,C00121,M+Na[1+],0.000116466770009538
173.04196,C00309,M+Na[1+],0.000116466770009538
173.04196,C00310,M+Na[1+],0.000116466770009538
173.04196,C00181,M+Na[1+],0.000116466770009538
173.04196,C00259,M+Na[1+],0.000116466770009538
173.04196,C00312,M+Na[1+],0.000116466770009538
173.04196,C06001,M+HCOONa[1+],1.64667700062182e-05
173.04196,C05984,M+HCOONa[1+],1.64667700062182e-05
173.04196,C01089,M+HCOONa[1+],1.64667700062182e-05
664.11627,C00003,M[1+],0.000630000000001019
370.05232,C00020,M+Na[1+],5.64667700473365e-05
370.05232,C00362,M+Na[1+],5.64667700473365e-05
370.05232,C00357,M+HCOONa[1+],0.00134353322999914
370.05232,C04501,M+HCOONa[1+],0.00134353322999914
370.05232,C18060,M+HCOONa[1+],0.00134353322999914
370.05232,C04257,M+HCOONa[1+],0.00134353322999914
212.04299,C02305,M+H[1+],8.64667700000155e-05
212.04299,C03771,M+K[1+],0.000213533229981522
302.06358,C00357,M+H[1+],3.53322997170835e-06
302.06358,C04501,M+H[1+],3.53322997170835e-06
302.06358,C18060,M+H[1+],3.53322997170835e-06
302.06358,C04257,M+H[1+],3.53322997170835e-06
302.06358,C00020,M-HCOOH+H[1+],0.00139646677001792
302.06358,C00362,M-HCOOH+H[1+],0.00139646677001792
302.06358,C00942,M-CO2+H[1+],0.00129646676998618
400.34217,C02990,M+H[1+],6.46677000304408e-06
400.34217,C01829,M+H+Na[2+],0.000543533230029425
348.07057,C00020,M+H[1+],0.000193533229946752
348.07057,C00362,M+H[1+],0.000193533229946752
233.06336,C02076,M+Na[1+],8.35332299686797e-05
233.06336,C01019,M+HCOONa[1+],0.000183533229971999
249.03711,C00117,M+H2O+H[1+],3.35332299812308e-05
249.03711,C00620,M+H2O+H[1+],3.35332299812308e-05
249.03711,C00199,M+H2O+H[1+],3.35332299812308e-05
249.03711,C00345,M-CO+H[1+],0.00023353322998787
249.03711,C02076,M+K[1+],0.00033353322999119
249.03711,C00231,M+H2O+H[1+],3.35332299812308e-05
249.03711,C01019,M+HCOOK[1+],3.35332300096525e-05
249.03711,C01179,M+HCOONa[1+],0.000133533230012972
249.03711,C05350,M+HCOONa[1+],0.000133533230012972
249.03713,C00117,M+H2O+H[1+],5.35332299591573e-05
249.03713,C00620,M+H2O+H[1+],5.35332299591573e-05
249.03713,C00199,M+H2O+H[1+],5.35332299591573e-05
249.03713,C00345,M-CO+H[1+],0.000253533229965797
249.03713,C02076,M+K[1+],0.000353533229969116
249.03713,C00231,M+H2O+H[1+],5.35332299591573e-05
249.03713,C01019,M+HCOOK[1+],5.3533229987579e-05
249.03713,C01179,M+HCOONa[1+],0.000153533229990899
249.03713,C05350,M+HCOONa[1+],0.000153533229990899
197.1008,C16586,M(C13)+H[1+],0.000623533229997975
197.1008,C00062,M+Na[1+],0.000176466770028583
197.1008,C00792,M+Na[1+],0.000176466770028583
253.00827,C00117,M+Na[1+],0.000206466770009683
253.00827,C00620,M+Na[1+],0.000206466770009683
253.00827,C00199,M+Na[1+],0.000206466770009683
253.00827,C00231,M+Na[1+],0.000206466770009683
253.00827,C00191,M+NaCl[1+],0.000306466769984581
253.00827,C00618,M+NaCl[1+],0.000306466769984581
253.00827,C05699,M-H2O+H[1+],0.000306466770013003
589.0452,C00029,M+Na[1+],0.000923533230093199
589.0452,C00052,M+Na[1+],0.000923533230093199
538.12713,C05921,M-H4O2+H[1+],0.000353533229940695
219.00522,C01179,M+K[1+],0.000143533229987725
219.00522,C05350,M+K[1+],0.000143533229987725
253.00829,C00117,M+Na[1+],0.000186466770031757
253.00829,C00620,M+Na[1+],0.000186466770031757
253.00829,C00199,M+Na[1+],0.000186466770031757
253.00829,C00231,M+Na[1+],0.000186466770031757
253.00829,C00191,M+NaCl[1+],0.000286466770006655
253.00829,C00618,M+NaCl[1+],0.000286466770006655
253.00829,C05699,M-H2O+H[1+],0.000286466770035076
233.063,C02076,M+Na[1+],0.000276466770031902
233.063,C01019,M+HCOONa[1+],0.000176466770028583
401.34501,C02990,M(C13)+H[1+],0.000566466770010265
233.06455,C20934,M-H4O2+H[1+],0.000926466770039269
160.07564,C00780,M-NH3+H[1+],0.000136466770015886
160.07564,C00637,M+H[1+],3.64667700125665e-05
160.07564,C00331,M-CO2+H[1+],3.64667700125665e-05
160.07564,C05660,M-HCOOH+H[1+],0.000136466770015886
160.07564,C16586,M-H4O2+H[1+],6.35332299907532e-05
249.03709,C00117,M+H2O+H[1+],1.35332299748825e-05
249.03709,C00620,M+H2O+H[1+],1.35332299748825e-05
249.03709,C00199,M+H2O+H[1+],1.35332299748825e-05
249.03709,C00345,M-CO+H[1+],0.000213533229981522
249.03709,C02076,M+K[1+],0.000313533229984841
249.03709,C00231,M+H2O+H[1+],1.35332299748825e-05
249.03709,C01019,M+HCOOK[1+],1.35332300033042e-05
249.03709,C01179,M+HCOONa[1+],0.000113533230006624
249.03709,C05350,M+HCOONa[1+],0.000113533230006624
332.0753,C00360,M+H[1+],0.000176466769971739
332.0753,C05983,M-C3H4O2+H[1+],0.000176466769971739
159.06823,C00637,M[1+],0.000169999999997117
238.04504,C00329,M+NaCl[1+],0.000236466769990784
238.04504,C01233,M+Na[1+],0.000136466770015886
335.106,C04352,M-HCOONa+H[1+],7.64667700536847e-05
231.02629,C00117,M+H[1+],0.000186466770031757
231.02629,C00620,M+H[1+],0.000186466770031757
231.02629,C00199,M+H[1+],0.000186466770031757
231.02629,C00231,M+H[1+],0.000186466770031757
231.02629,C00345,M-HCOOH+H[1+],0.000186466770031757
231.02629,C01236,M-CO+H[1+],8.64667700000155e-05
231.04324,C01107,M(S34)+H[1+],0.000263533229997392
231.04324,C01107,M(Cl37)+H[1+],0.00113646676999224
123.05549,C00153,M+H[1+],0.000213533230009944
123.05549,C05828,M-H2O+H[1+],0.000213533229995733
266.12264,C05642,M(C13)+H[1+],0.000963533229992208
266.12264,C00270,M-CO2+H[1+],0.000836466770010702
538.09846,C16238,M(S34)+H[1+],0.000616466769997714
538.09846,C16238,M(Cl37)+H[1+],0.00201646676998735
538.09846,C00096,M-HCOONa+H[1+],0.00138353323006868
231.09758,C04376,M-HCOOK+H[1+],0.00010353323000345
253.00838,C00117,M+Na[1+],9.64667700316113e-05
253.00838,C00620,M+Na[1+],9.64667700316113e-05
253.00838,C00199,M+Na[1+],9.64667700316113e-05
253.00838,C00231,M+Na[1+],9.64667700316113e-05
253.00838,C00191,M+NaCl[1+],0.000196466770006509
253.00838,C00618,M+NaCl[1+],0.000196466770006509
253.00838,C05699,M-H2O+H[1+],0.000196466770034931
325.04328,C00105,M+H[1+],0.000103533229946606
325.04328,C01103,M-CO2+H[1+],0.00010353323000345
238.0445,C00329,M+NaCl[1+],0.000776466769991657
238.0445,C01233,M+Na[1+],0.000676466770016759
357.0879,C04352,M-HCOOH+H[1+],0.000176466770028583
357.0879,C19604,M+HCOOK[1+],0.000776466769991657
357.0879,C19561,M+HCOOK[1+],0.000776466769991657
357.0879,C19489,M+HCOOK[1+],0.000776466769991657
459.19907,C11132,M-H2O+H[1+],0.00220646677001923
664.11613,C00003,M[1+],0.000769999999988613
348.07065,C00020,M+H[1+],0.000273533229972145
348.07065,C00362,M+H[1+],0.000273533229972145
457.0885,C00356,M(C13)+2H[2+],0.000773533229960321
429.37357,C11508,M+H2O+H[1+],0.00079353322996667
429.37357,C15783,M+H2O+H[1+],0.00079353322996667
429.37357,C11455,M+H2O+H[1+],0.00079353322996667
347.02511,C00105,M+Na[1+],6.64667700789323e-05
603.02361,C00167,M+Na[1+],3.35332299528091e-05
160.04277,C00337,M(C13)+H[1+],0.000706466770026282
160.04277,C02220,M(Cl37)+H[1+],0.000793533229995091
336.09173,C00212,M+HCOONa[1+],0.00025353323002264
336.09173,C00330,M+HCOONa[1+],0.00025353323002264
233.06311,C02076,M+Na[1+],0.000166466770025409
233.06311,C01019,M+HCOONa[1+],6.64667700220889e-05
208.98217,C00631,M+Na[1+],6.46677000304408e-06
208.98217,C00197,M+Na[1+],6.46677000304408e-06
208.98217,C00227,M+HCOONa[1+],6.46677000304408e-06
400.34193,C02990,M+H[1+],0.00024646677002238
400.34193,C01829,M+H+Na[2+],0.000303533230010089
300.28959,C00319,M+H[1+],8.64667700284372e-05
