"","DMSO_1","DMSO_2","DMSO_3","DMSO_4","Simva_1","Simva_2","Simva_3","Simva_4"
"Label","DMSO","DMSO","DMSO","DMSO","Simva","Simva","Simva","Simva"
"C00003","14.0020690866233","13.1240202108763","13.1467029809697","13.2347495810429","12.8911576459051","13.1396964228266","13.1662175030538","13.0089368579466"
"C00008","11.8217896743869","11.7350111284384","11.7445969759645","11.6484764120405","11.6728014762843","11.9174503595111","11.8226417374104","12.0703441639704"
"C00015","9.35300372390506","9.77664985061091","9.67531174578712","9.44931233508385","8.93183418316942","9.35537684467178","8.6308381558057","9.21107074855432"
"C00016","10.2117602634858","9.42902207578332","9.57516186104339","9.78041366590994","9.26536131516744","9.42771820114618","9.7058184483212","9.30625780445889"
"C00019","13.5376757802639","11.4851858854756","11.8670489527805","12.5334426677102","12.2247549269708","12.8077261531299","12.779118533663","12.2955452962334"
"C00020","10.9342963479068","10.5356917400224","10.5058041793567","10.5640468241524","10.2759716165281","10.4126690832148","10.3231522194027","10.2416853406311"
"C00029","12.546561744362","12.6049658044749","12.574962323758","12.4641761378017","12.0447561630779","12.1722182193789","12.1454281317069","12.3085780906699"
"C00043","12.9443368468951","12.8314562410503","12.6972189028431","12.6462943616377","12.1783542986627","12.2855109199815","12.2372931246301","12.5510869276656"
"C00051","14.3091328243494","14.7376848006","15.0648064477001","14.9068669879495","14.2901188678827","14.4263902404689","14.184363886066","14.6302491062916"
"C00052","12.3047796099962","12.079991319213","12.0922673996352","11.8630897580865","11.8003618184023","11.8765407138647","11.7524048205315","11.9196862111631"
"C00055","12.6249944655401","11.5979412591725","11.662005740519","11.6872525574183","11.1946766663851","11.7417269315576","11.5958768968518","11.3721858202795"
"C00062","10.8984142630675","11.2723140961311","11.4390210713032","10.9377775165789","10.6927290437229","10.8097086004214","10.7863017254155","11.2748404034278"
"C00082","13.0171394700496","13.2113574830884","13.1648045402056","13.0741324474084","13.2558753186176","13.3076650813564","13.2362221193901","13.4045734200299"
"C00103","11.2850936840859","11.4140430833757","11.3022277618693","11.3167212707274","10.3244940890672","10.912816192688","11.2470057862887","11.1682730094328"
"C00105","12.7455469951759","12.9339495512298","12.9149703916859","13.0211681983585","12.4848329154983","12.6541656263742","12.5732007745085","12.4723326311319"
"C00120","9.79302663212132","9.9666698680971","10.0757452691255","9.9916002592722","10.5713881099548","10.7936290267747","10.5360745406875","10.631045333292"
"C00127","17.9124326172451","18.0410071870204","18.2057328394273","17.9538863971702","17.6179247296199","17.7821752314743","17.7283252015895","17.7407072198231"
"C00144","14.0085542952382","12.8195506006771","12.7220068794372","12.7054209669715","12.5056433706796","12.749234894466","12.8586251138933","12.4398986732535"
"C00147","10.1537878649204","10.1205694249614","9.89750983072216","9.62983607821467","9.40635207918913","9.55199143336642","9.45913488672409","9.84708233118411"
"C00157","16.9934032791152","13.9326110924237","12.1038156301527","12.8693664441101","2.2206219447373","2.48047606447266","14.910184826369","13.9725678281941"
"C00167","12.3140840085622","12.4115098694695","12.4261288610604","12.1892799352236","11.9657796412267","12.1046017406622","12.0443616966938","12.1090257796749"
"C00170","12.4335918641452","13.5952719702573","13.6304755010432","13.3184408499655","13.034625169988","13.2236841112177","12.9534032271626","13.2426905583388"
"C00199","8.07409902180347","7.49163079420122","8.48117895991944","7.49084234552774","8.23339411379973","8.18682499063482","7.22504141784507","7.83986672746569"
"C00242","12.3042254793908","11.6380459750603","11.4983332803524","11.7568522606254","11.9000266886939","12.1607225500956","11.9526092907903","11.547640571761"
"C00262","13.24883397721","13.2845103844173","13.2488201050127","13.2691853718694","12.979178173062","13.1691810483081","13.0147218300123","12.9386530431155"
